id,title,release_date,original_language,overview,popularity,genre_ids,vote_average,vote_count
939243,Sonic the Hedgehog 3,2024-12-19,en,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",3993.212,"[28, 878, 35, 10751]",7.771,1659
1241982,Moana 2,2024-11-21,en,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",3629.863,"[16, 12, 10751, 35]",7.2,1386
539972,Kraven the Hunter,2024-12-11,en,"Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",2406.152,"[28, 12, 53]",6.6,1143
1160956,Panda Plan,2024-10-01,zh,"International action star Jackie Chan is invited to the adoption ceremony of a rare baby panda, but after an international crime syndicate attempts to kidnap the bear, Jackie has to save the bear using his stunt work skills.",2258.576,"[28, 35]",6.545,44
710295,Wolf Man,2025-01-15,en,"With his marriage fraying, Blake persuades his wife Charlotte to take a break from the city and visit his remote childhood home in rural Oregon. As they arrive at the farmhouse in the dead of night, they're attacked by an unseen animal and barricade themselves inside the home as the creature prowls the perimeter. But as the night stretches on, Blake begins to behave strangely, transforming into something unrecognizable.",1657.762,"[27, 53]",6.381,277
993710,Back in Action,2025-01-15,en,"Fifteen years after vanishing from the CIA to start a family, elite spies Matt and Emily jump back into the world of espionage when their cover is blown.",1639.105,"[28, 35]",6.605,873
1249289,Alarum,2025-01-16,en,"Two married spies caught in the crosshairs of an international intelligence network will stop at nothing to obtain a critical asset. Joe and Lara are agents living off the grid whose quiet retreat at a winter resort is blown to shreds when members of the old guard suspect the two may have joined an elite team of rogue spies, known as Alarum.",1325.673,"[28, 80, 53]",5.8,144
1410082,Sniper: The Last Stand,2025-01-21,en,"To stop an arms dealer from unleashing a deadly superweapon, Ace sniper Brandon Beckett and Agent Zero are deployed to Costa Verde to lead a group of elite soldiers against an unrelenting militia. Taking an untested sniper under his wing, Beckett faces his newest challenge: giving orders instead of receiving them. With both time and ammo running low in a race to save humanity, the team must overcome all odds just to survive.",1236.321,"[28, 53]",6.6,74
912649,Venom: The Last Dance,2024-10-22,en,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",1096.148,"[28, 878, 12]",6.773,2753
762509,Mufasa: The Lion King,2024-12-18,en,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",1075.244,"[12, 10751, 16]",7.4,984
558449,Gladiator II,2024-11-05,en,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",1006.921,"[28, 12, 18]",6.756,2755
811941,Devara: Part 1,2024-09-26,te,"Devara, a fearless man from a coastal region, embarks on a perilous journey into the treacherous world of the sea to safeguard the lives of his people. Unbeknownst to him, his brother Bhaira is plotting a conspiracy against him. As events unfold, Devara passes on his legacy to his mild-mannered and timid son, Varada.",858.025,"[28, 18]",7.319,130
426063,Nosferatu,2024-12-25,en,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",816.628,"[27, 14]",6.7,1999
933260,The Substance,2024-09-07,en,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",764.506,"[27, 878, 35]",7.137,3760
1114894,Star Trek: Section 31,2025-01-15,en,Emperor Philippa Georgiou joins a secret division of Starfleet tasked with protecting the United Federation of Planets and faces the sins of her past.,761.369,"[878, 12, 28, 18, 10770]",4.594,143
1097549,Babygirl,2024-12-25,en,A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much younger intern.,755.922,[18],5.7,423
970450,Werewolves,2024-12-04,en,"A year after a supermoon’s light activated a dormant gene, transforming humans into bloodthirsty werewolves and causing nearly a billion deaths, the nightmare resurfaces as the supermoon rises again. Two scientists attempt to stop the mutation but fail and must now struggle to reach one of their family homes.",750.091,"[28, 27, 53]",6.2,280
1035048,Elevation,2024-11-07,en,A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.,740.734,"[28, 878, 53]",6.401,496
1255788,The Gardener,2025-01-30,fr,"Every year the Prime Minister has a list of all kinds of troublemakers eliminated in the name of the famous Reason of State. Serge Shuster, Special Adviser to the President of the Republic, finds himself on this list, better known as the Matignon List.  Condemned to certain death and at the heart of an implacable plot and a state secret that also put his family in danger, Serge, his wife and children have only one hope left - their gardener, Léo, who hates it when « slugs » invade his garden... Especially those that want to kill innocent families.",689.9,"[28, 35]",6.4,59
1357633,Solo Leveling -ReAwakening-,2024-11-26,ja,"Over a decade after 'gates' connecting worlds appeared, awakening 'hunters' with superpowers, weakest hunter Sung Jinwoo encounters a double dungeon and accepts a mysterious quest, becoming the only one able to level up, changing his fate. A catch-up recap of the first season coupled with an exclusive sneak peek of the first two episodes of the highly anticipated second season in one momentous theatrical fan experience.",655.434,"[28, 12, 14, 16]",7.2,103
